"","x"
"NPC2",4225.95105109202
"CARD16",4224.68467072293
"SEPT6",4221.99767274646
"AL928768.3",4219.26305236538
"CMTM7",4214.11880536226
"ITM2A",4212.99666255377
"MEAF6",4212.58191986354
"CNPY3",4207.77166485553
"BLOC1S4",4204.67106856511
"CSDE1",4202.69699792713
"TAPSAR1",4201.50084838248
"IL16",4201.04075673449
"UQCRC2",4199.58999034729
"RAD23A",4198.96534527452
"PHB",4195.42292813673
"PSMD4",4195.38275498321
"PPP4C",4194.51800006767
"FKBP11",4188.35579545798
"MFNG",4187.93646516934
"SNRPD1",4182.68146671326
"HMOX2",4182.33800210982
"SF3B14",4176.67110079572
"TKT",4176.64177775993
"USMG5",4171.84984125377
"NUCKS1",4169.9799137603
"OCIAD1",4168.56542268485
"RSL24D1",4168.37728129287
"RPS27L",4166.41742040194
"IMPDH2",4165.94453970801
"NECAP2",4162.2367340402
"SUSD3",4159.33318504315
"VAPA",4159.10932160403
"DDX18",4154.55701199601
"CCDC107",4152.61317062382
"TOMM22",4148.86350220338
"CD6",4145.2647110314
"DEK",4141.16235653989
"ATP5G1",4137.29295737949
"TXN",4135.48934766218
"CCT7",4129.50379012674
"NEAT1",4128.32136620878
"PDCD6",4128.2348508752
"SF1",4126.9747551884
"PSMA1",4124.6793697551
"RNF167",4120.53716584234
"TERF2IP",4120.2286959954
"NDUFV2",4117.49169940788
"COPS6",4116.36355243015
"TCF7",4115.94922655158
"PTP4A2",4112.92137553696
"CNPY2",4109.95729030356
"TMEM14B",4101.31392150977
"DEF6",4099.38060318905
"KHDRBS1",4099.28806255921
"CCDC12",4098.97203899305
"SLC9A3R1",4097.39660231863
"CCL4",4095.89925229509
"ZAP70",4095.03868062989
"EIF5B",4091.16617203734
"NDUFS6",4091.00657709522
"FUS",4089.40843708353
"PBXIP1",4084.73267611444
"KMT2E",4082.71516599129
"CKLF",4082.34450858671
"EPB41L4A.AS1",4079.89041743297
"HSPE1",4078.6810948021
"TRAM1",4074.9142630227
"CYC1",4066.01890882393
"NUDC",4064.87423085452
"MRPL54",4064.24407230957
"NAA10",4063.76582899692
"CYTIP",4063.19843662198
"TWF2",4061.38304304201
"ATF4",4061.15052304693
"ADRM1",4060.42216481452
"ANXA2R",4057.15269730394
"TMEM243",4053.6682081387
"MRPL51",4053.3870624806
"LSM10",4050.59565501021
"PSMA2.1",4046.51436049091
"RAB5C",4043.51533924817
"MARCKSL1",4041.91266956225
"SELM",4038.07314972334
"DDX24",4031.72473054476
"CTSC",4025.63962814646
"PPP2R5C",4020.05585856211
"TMEM147",4016.12553804094
"TIMM13",4003.40398635077
"MDH1",4001.82720673771
"LSMD1",3998.7939112229
"RHOF",3997.76484177241
"CCT8",3995.58037096508
"SRI",3994.96349665152
"C19orf24",3990.71077891423
"NCOR1",3987.26630758253
"CHMP1B",3983.20709272546
